supporter_id,churn_probability,churn_risk_label
57,0.41,High
42,0.385,High
47,0.36,High
16,0.33,High
5,0.305,High
10,0.29,High
29,0.25,High
44,0.25,High
49,0.245,High
19,0.235,High
56,0.235,High
48,0.22,High
18,0.22,High
43,0.215,Medium
11,0.21,Medium
46,0.205,Medium
51,0.195,Medium
21,0.18,Medium
6,0.17,Medium
59,0.165,Medium
12,0.145,Medium
32,0.135,Medium
13,0.135,Medium
22,0.125,Medium
45,0.125,Medium
24,0.125,Medium
35,0.11,Low
54,0.11,Low
31,0.095,Low
8,0.085,Low
25,0.08,Low
27,0.075,Low
3,0.07,Low
38,0.07,Low
9,0.07,Low
1,0.065,Low
7,0.055,Low
4,0.055,Low
26,0.045,Low
