feature,coefficient,p_value,significant
features_resident_story,1.134352586966126,3.849938681513477e-13,True
const,0.4671381468556163,0.01719656226675625,True
is_boosted,0.46471256124769544,0.0033416916708912787,True
post_type_ImpactStory,0.4264219041984033,0.01006057543795793,True
platform_YouTube,0.4142693492993037,0.0014339159349395277,True
post_type_FundraisingAppeal,0.3289605228837438,0.003974518408750747,True
call_to_action_type_ShareStory,0.2914250737569609,0.008600072485205654,True
platform_WhatsApp,0.25350710719628644,0.04096739703736454,True
call_to_action_type_None,0.2413900896625349,0.02993242085615383,True
has_call_to_action,0.2257480571930805,0.03760887031005853,True
sentiment_tone_Emotional,0.19863105501031247,0.06884811121312345,False
day_of_week_Monday,0.1946198786242183,0.08430482452277949,False
content_topic_CampaignLaunch,0.18497444792607268,0.17449489798686582,False
call_to_action_type_SignUp,0.1801190615451831,0.10572241544725762,False
call_to_action_type_LearnMore,0.16713249238381192,0.12546679656375676,False
day_of_week_Thursday,0.1241340809650777,0.26377681871604786,False
media_type_Reel,0.12412552980630771,0.352066858308294,False
content_topic_Health,0.12362568775436888,0.3435885624835857,False
day_of_week_Sunday,0.1158779219778405,0.31095394901471995,False
platform_TikTok,0.11164351326999714,0.40869827209917625,False
platform_Instagram,0.09372622266564024,0.31474851571518553,False
day_of_week_Wednesday,0.06569836140791772,0.5544828921722391,False
day_of_week_Saturday,0.05628873849433312,0.6107416059162336,False
post_hour,0.05431746328957207,6.72716724839527e-28,True
day_of_week_Tuesday,0.038568307706733425,0.7177917374501734,False
num_hashtags,0.03312197316177592,0.20577262353487136,False
sentiment_tone_Urgent,0.023040489293401162,0.838150344542283,False
boost_budget_php,9.889749674635978e-05,0.07418790269544909,False
caption_length,2.4637641993350938e-05,0.9856763239533676,False
media_type_Video,-0.04375114028276046,0.6964707531857017,False
content_topic_Reintegration,-0.05955737376097808,0.662750941853062,False
content_topic_SafehouseLife,-0.07365433895673082,0.5434649867845669,False
content_topic_DonorImpact,-0.09043352880323738,0.46409766998136115,False
content_topic_Education,-0.09408678494753295,0.4366256613079904,False
content_topic_Gratitude,-0.11789149356498524,0.3708495153323222,False
media_type_Photo,-0.11984715695446921,0.25252381887066,False
sentiment_tone_Hopeful,-0.1539244425789786,0.1487554695768469,False
platform_Twitter,-0.2001441084429186,0.05675258466514616,False
platform_LinkedIn,-0.20623568431933176,0.07761900011768842,False
sentiment_tone_Grateful,-0.23614135854437399,0.03276814805004006,True
content_topic_EventRecap,-0.2537423851857922,0.1185227583883099,False
media_type_Text,-0.352864957116622,0.00289105647398275,True
sentiment_tone_Informative,-0.525100592755727,6.671173261614829e-07,True
post_type_EducationalContent,-1.0896542951667016,2.873988975382322e-20,True
post_type_EventPromotion,-1.1119870422148461,1.0432304011392635e-21,True
post_type_ThankYou,-1.1477324038441277,1.2314172501150838e-17,True
